State/Country,Year,Category of industry,Code version,Employed Person ('000)
Malaysia,2016,Total,MSIC 2008,"14,163.7"
Johor,2016,Total,MSIC 2008,"1,580.6"
Kedah,2016,Total,MSIC 2008,884.3
Kelantan,2016,Total,MSIC 2008,632.9
Melaka,2016,Total,MSIC 2008,397.3
Negeri Sembilan,2016,Total,MSIC 2008,466.9
Pahang,2016,Total,MSIC 2008,692.2
Pulau Pinang,2016,Total,MSIC 2008,827.4
Perak,2016,Total,MSIC 2008,988.2
Perlis,2016,Total,MSIC 2008,100.1
Selangor,2016,Total,MSIC 2008,"3,217.6"
Terengganu,2016,Total,MSIC 2008,428.5
Sabah,2016,Total,MSIC 2008,"1,823.7"
Sarawak,2016,Total,MSIC 2008,"1,218.2"
W.P. Kuala Lumpur,2016,Total,MSIC 2008,827.2
W.P Labuan,2016,Total,MSIC 2008,40.2
W.P.Putrajaya,2016,Total,MSIC 2008,38.2
Malaysia,2016,"Agriculture, forestry and fishing",MSIC 2008,"1,609.9"
Johor,2016,"Agriculture, forestry and fishing",MSIC 2008,101.7
Kedah,2016,"Agriculture, forestry and fishing",MSIC 2008,114.0
Kelantan,2016,"Agriculture, forestry and fishing",MSIC 2008,79.5
Melaka,2016,"Agriculture, forestry and fishing",MSIC 2008,18.2
Negeri Sembilan,2016,"Agriculture, forestry and fishing",MSIC 2008,42.2
Pahang,2016,"Agriculture, forestry and fishing",MSIC 2008,151.8
Pulau Pinang,2016,"Agriculture, forestry and fishing",MSIC 2008,10.5
Perak,2016,"Agriculture, forestry and fishing",MSIC 2008,111.1
Perlis,2016,"Agriculture, forestry and fishing",MSIC 2008,12.3
Selangor,2016,"Agriculture, forestry and fishing",MSIC 2008,41.8
Terengganu,2016,"Agriculture, forestry and fishing",MSIC 2008,42.0
Sabah,2016,"Agriculture, forestry and fishing",MSIC 2008,581.6
Sarawak,2016,"Agriculture, forestry and fishing",MSIC 2008,301.1
W.P. Kuala Lumpur,2016,"Agriculture, forestry and fishing",MSIC 2008,0.4
W.P Labuan,2016,"Agriculture, forestry and fishing",MSIC 2008,1.8
W.P.Putrajaya,2016,"Agriculture, forestry and fishing",MSIC 2008,
Malaysia,2016,Mining and quarrying,MSIC 2008,96.3
Johor,2016,Mining and quarrying,MSIC 2008,7.8
Kedah,2016,Mining and quarrying,MSIC 2008,1.9
Kelantan,2016,Mining and quarrying,MSIC 2008,2.1
Melaka,2016,Mining and quarrying,MSIC 2008,2.9
Negeri Sembilan,2016,Mining and quarrying,MSIC 2008,2.1
Pahang,2016,Mining and quarrying,MSIC 2008,3.9
Pulau Pinang,2016,Mining and quarrying,MSIC 2008,0.1
Perak,2016,Mining and quarrying,MSIC 2008,10.1
Perlis,2016,Mining and quarrying,MSIC 2008,0.4
Selangor,2016,Mining and quarrying,MSIC 2008,31.2
Terengganu,2016,Mining and quarrying,MSIC 2008,10.0
Sabah,2016,Mining and quarrying,MSIC 2008,7.5
Sarawak,2016,Mining and quarrying,MSIC 2008,12.4
W.P. Kuala Lumpur,2016,Mining and quarrying,MSIC 2008,0.1
W.P Labuan,2016,Mining and quarrying,MSIC 2008,3.7
W.P.Putrajaya,2016,Mining and quarrying,MSIC 2008,0.0
Malaysia,2016,Manufacturing,MSIC 2008,"2,390.6"
Johor,2016,Manufacturing,MSIC 2008,429.5
Kedah,2016,Manufacturing,MSIC 2008,173.9
Kelantan,2016,Manufacturing,MSIC 2008,64.4
Melaka,2016,Manufacturing,MSIC 2008,93.8
Negeri Sembilan,2016,Manufacturing,MSIC 2008,70.2
Pahang,2016,Manufacturing,MSIC 2008,66.5
Pulau Pinang,2016,Manufacturing,MSIC 2008,272.5
Perak,2016,Manufacturing,MSIC 2008,162.1
Perlis,2016,Manufacturing,MSIC 2008,10.3
Selangor,2016,Manufacturing,MSIC 2008,631.7
Terengganu,2016,Manufacturing,MSIC 2008,47.6
Sabah,2016,Manufacturing,MSIC 2008,177.3
Sarawak,2016,Manufacturing,MSIC 2008,134.0
W.P. Kuala Lumpur,2016,Manufacturing,MSIC 2008,52.1
W.P Labuan,2016,Manufacturing,MSIC 2008,3.9
W.P.Putrajaya,2016,Manufacturing,MSIC 2008,0.9
Malaysia,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,77.9
Johor,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.8
Kedah,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.9
Kelantan,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.1
Melaka,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,1.9
Negeri Sembilan,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.1
Pahang,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,2.9
Pulau Pinang,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,5.3
Perak,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,7.8
Perlis,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,0.4
Selangor,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,23.9
Terengganu,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,3.3
Sabah,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,6.8
Sarawak,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,7.2
W.P. Kuala Lumpur,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,4.2
W.P Labuan,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,0.2
W.P.Putrajaya,2016,"Electricity, gas, steam and air conditioning supply",MSIC 2008,0.2
Malaysia,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,76.4
Johor,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,13.0
Kedah,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,9.8
Kelantan,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,0.9
Melaka,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,3.2
Negeri Sembilan,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,3.7
Pahang,2016,"Water supply; sewerage, waste management and remediation activities",MSIC 2008,6.3
