UA,BIDANG,Output2013
UM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",914
UM,KESIHATAN DAN KEBAJIKAN,742
UM,PENDIDIKAN,466
UM,PERKHIDMATAN,72
UM,PROGRAM ASAS,0
UM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1115
UM,"SAINS, MATEMATIK DAN KOMPUTER",1612
UM,SASTERA DAN KEMANUSIAAN,605
UM,KESELURUHAN,5526
UTHM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",2262
UTHM,PENDIDIKAN,764
UTHM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",168
UTHM,"SAINS, MATEMATIK DAN KOMPUTER",332
UTHM,KESELURUHAN,3526
UTeM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1488
UTeM,PERKHIDMATAN,0
UTeM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",175
UTeM,"SAINS, MATEMATIK DAN KOMPUTER",129
UTeM,KESELURUHAN,1792
UMT,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",116
UMT,KESIHATAN DAN KEBAJIKAN,204
UMT,PERKHIDMATAN,254
UMT,PERTANIAN DAN VETERINAR,317
UMT,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",386
UMT,"SAINS, MATEMATIK DAN KOMPUTER",680
UMT,SASTERA DAN KEMANUSIAAN,11
UMT,KESELURUHAN,1968
UMP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1317
UMP,PERKHIDMATAN,27
UMP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",116
UMP,"SAINS, MATEMATIK DAN KOMPUTER",265
UMP,SASTERA DAN KEMANUSIAAN,0
UMP,KESELURUHAN,1725
UniSZA,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",56
UniSZA,KESIHATAN DAN KEBAJIKAN,105
UniSZA,PENDIDIKAN,206
UniSZA,PERTANIAN DAN VETERINAR,69
UniSZA,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",507
UniSZA,"SAINS, MATEMATIK DAN KOMPUTER",70
UniSZA,SASTERA DAN KEMANUSIAAN,423
UniSZA,KESELURUHAN,1436
USM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1576
USM,KESIHATAN DAN KEBAJIKAN,1034
USM,PENDIDIKAN,813
USM,PERKHIDMATAN,41
USM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1410
USM,"SAINS, MATEMATIK DAN KOMPUTER",793
USM,SASTERA DAN KEMANUSIAAN,692
USM,KESELURUHAN,6359
UNIMAP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1555
UNIMAP,PERTANIAN DAN VETERINAR,0
UNIMAP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",315
UNIMAP,"SAINS, MATEMATIK DAN KOMPUTER",0
UNIMAP,KESELURUHAN,1870
UPM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1406
UPM,KESIHATAN DAN KEBAJIKAN,298
UPM,PENDIDIKAN,938
UPM,PERKHIDMATAN,61
UPM,PERTANIAN DAN VETERINAR,1545
UPM,PROGRAM ASAS,35
UPM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1377
UPM,"SAINS, MATEMATIK DAN KOMPUTER",1205
UPM,SASTERA DAN KEMANUSIAAN,860
UPM,KESELURUHAN,7725
USIM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",87
USIM,KESIHATAN DAN KEBAJIKAN,102
USIM,PENDIDIKAN,68
USIM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",452
USIM,"SAINS, MATEMATIK DAN KOMPUTER",53
USIM,SASTERA DAN KEMANUSIAAN,737
USIM,KESELURUHAN,1499
UiTM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",9496
UiTM,KESIHATAN DAN KEBAJIKAN,1354
UiTM,PENDIDIKAN,473
UiTM,PERKHIDMATAN,3241
UiTM,PERTANIAN DAN VETERINAR,1097
UiTM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",25488
UiTM,"SAINS, MATEMATIK DAN KOMPUTER",5902
UiTM,SASTERA DAN KEMANUSIAAN,4203
UiTM,KESELURUHAN,51254
UTM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",3511
UTM,KESIHATAN DAN KEBAJIKAN,0
UTM,PENDIDIKAN,1016
UTM,PERKHIDMATAN,71
UTM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",511
UTM,"SAINS, MATEMATIK DAN KOMPUTER",895
UTM,SASTERA DAN KEMANUSIAAN,39
UTM,KESELURUHAN,6043
UIAM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1753
UIAM,KESIHATAN DAN KEBAJIKAN,982
UIAM,PENDIDIKAN,931
UIAM,PERKHIDMATAN,0
UIAM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",2117
UIAM,"SAINS, MATEMATIK DAN KOMPUTER",780
UIAM,SASTERA DAN KEMANUSIAAN,1109
UIAM,KESELURUHAN,7672
UUM,KESIHATAN DAN KEBAJIKAN,106
UUM,PENDIDIKAN,876
UUM,PERKHIDMATAN,280
