UA,Bidang,Output2014
UM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",986
UM,KESIHATAN DAN KEBAJIKAN,750
UM,PENDIDIKAN,458
UM,PERKHIDMATAN,54
UM,PROGRAM ASAS,
UM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1432
UM,"SAINS, MATEMATIK DAN KOMPUTER",1934
UM,SASTERA DAN KEMANUSIAAN,1020
UM,KESELURUHAN,6634
UTHM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",2827
UTHM,PENDIDIKAN,170
UTHM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",204
UTHM,"SAINS, MATEMATIK DAN KOMPUTER",266
UTHM,KESELURUHAN,3467
UTeM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1603
UTeM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",224
UTeM,"SAINS, MATEMATIK DAN KOMPUTER",161
UTeM,KESELURUHAN,1988
UMT,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",117
UMT,KESIHATAN DAN KEBAJIKAN,220
UMT,PERKHIDMATAN,167
UMT,PERTANIAN DAN VETERINAR,375
UMT,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",378
UMT,"SAINS, MATEMATIK DAN KOMPUTER",747
UMT,SASTERA DAN KEMANUSIAAN,
UMT,KESELURUHAN,2004
UMP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1473
UMP,PERKHIDMATAN,36
UMP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",175
UMP,"SAINS, MATEMATIK DAN KOMPUTER",362
UMP,SASTERA DAN KEMANUSIAAN,2
UMP,KESELURUHAN,2048
UniSZA,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",63
UniSZA,KESIHATAN DAN KEBAJIKAN,144
UniSZA,PENDIDIKAN,66
UniSZA,PERTANIAN DAN VETERINAR,55
UniSZA,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",810
UniSZA,"SAINS, MATEMATIK DAN KOMPUTER",93
UniSZA,SASTERA DAN KEMANUSIAAN,719
UniSZA,KESELURUHAN,1950
USM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1577
USM,KESIHATAN DAN KEBAJIKAN,1143
USM,PENDIDIKAN,498
USM,PERKHIDMATAN,54
USM,PROGRAM ASAS,
USM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1569
USM,"SAINS, MATEMATIK DAN KOMPUTER",826
USM,SASTERA DAN KEMANUSIAAN,714
USM,KESELURUHAN,6381
UNIMAP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1473
UNIMAP,KESIHATAN DAN KEBAJIKAN,
UNIMAP,PERTANIAN DAN VETERINAR,
UNIMAP,PROGRAM ASAS,
UNIMAP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",325
UNIMAP,"SAINS, MATEMATIK DAN KOMPUTER",4
UNIMAP,SASTERA DAN KEMANUSIAAN,
UNIMAP,KESELURUHAN,1802
UPM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1269
UPM,KESIHATAN DAN KEBAJIKAN,283
UPM,PENDIDIKAN,748
UPM,PERKHIDMATAN,76
UPM,PERTANIAN DAN VETERINAR,1438
UPM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1289
UPM,"SAINS, MATEMATIK DAN KOMPUTER",1150
UPM,SASTERA DAN KEMANUSIAAN,403
UPM,KESELURUHAN,6656
USIM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",166
USIM,KESIHATAN DAN KEBAJIKAN,269
USIM,PENDIDIKAN,7
USIM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",792
USIM,"SAINS, MATEMATIK DAN KOMPUTER",370
USIM,SASTERA DAN KEMANUSIAAN,847
USIM,KESELURUHAN,2451
UiTM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",9684
UiTM,KESIHATAN DAN KEBAJIKAN,1361
UiTM,PENDIDIKAN,140
UiTM,PERKHIDMATAN,3501
UiTM,PERTANIAN DAN VETERINAR,1209
UiTM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",29008
UiTM,"SAINS, MATEMATIK DAN KOMPUTER",8472
UiTM,SASTERA DAN KEMANUSIAAN,4497
UiTM,KESELURUHAN,57872
UTM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",3814
UTM,KESIHATAN DAN KEBAJIKAN,
UTM,PENDIDIKAN,726
UTM,PERKHIDMATAN,114
UTM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",913
UTM,"SAINS, MATEMATIK DAN KOMPUTER",1435
UTM,SASTERA DAN KEMANUSIAAN,62
UTM,KESELURUHAN,7064
UIAM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1918
UIAM,KESIHATAN DAN KEBAJIKAN,1026
UIAM,PENDIDIKAN,141
UIAM,PERKHIDMATAN,
UIAM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",2502
UIAM,"SAINS, MATEMATIK DAN KOMPUTER",965
UIAM,SASTERA DAN KEMANUSIAAN,1655
UIAM,KESELURUHAN,8207
UUM,KESIHATAN DAN KEBAJIKAN,77
UUM,PENDIDIKAN,345
UUM,PERKHIDMATAN,212
UUM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",5417
UUM,"SAINS, MATEMATIK DAN KOMPUTER",467
UUM,SASTERA DAN KEMANUSIAAN,84
UUM,KESELURUHAN,6602
UMS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",480
UMS,KESIHATAN DAN KEBAJIKAN,176
UMS,PENDIDIKAN,193
UMS,PERKHIDMATAN,172
UMS,PERTANIAN DAN VETERINAR,172
UMS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1909
UMS,"SAINS, MATEMATIK DAN KOMPUTER",580
UMS,SASTERA DAN KEMANUSIAAN,303
UMS,KESELURUHAN,3985
UPSI,KESIHATAN DAN KEBAJIKAN,131
UPSI,PENDIDIKAN,3603
UPSI,PERKHIDMATAN,
UPSI,PERTANIAN DAN VETERINAR,
UPSI,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",20
UPSI,"SAINS, MATEMATIK DAN KOMPUTER",306
UPSI,SASTERA DAN KEMANUSIAAN,266
UPSI,KESELURUHAN,4326
UNIMAS,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",276
UNIMAS,KESIHATAN DAN KEBAJIKAN,239
UNIMAS,PENDIDIKAN,27
UNIMAS,PERKHIDMATAN,15
UNIMAS,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1554
UNIMAS,"SAINS, MATEMATIK DAN KOMPUTER",1528
UNIMAS,SASTERA DAN KEMANUSIAAN,299
UNIMAS,KESELURUHAN,3938
UKM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",616
UKM,KESIHATAN DAN KEBAJIKAN,1125
UKM,PENDIDIKAN,402
UKM,PERKHIDMATAN,129
UKM,PERTANIAN DAN VETERINAR,8
UKM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1626
UKM,"SAINS, MATEMATIK DAN KOMPUTER",1229
UKM,SASTERA DAN KEMANUSIAAN,915
UKM,KESELURUHAN,6050
UMK,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",76
UMK,KESIHATAN DAN KEBAJIKAN,33
UMK,PERKHIDMATAN,64
UMK,PERTANIAN DAN VETERINAR,92
UMK,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",101
UMK,"SAINS, MATEMATIK DAN KOMPUTER",74
