UA,Bidang,Output 2015
UM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",931
UM,KESIHATAN DAN KEBAJIKAN,806
UM,PENDIDIKAN,374
UM,PERKHIDMATAN,48
UM,PERTANIAN DAN VETERINAR,0
UM,PROGRAM ASAS,0
UM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1345
UM,"SAINS, MATEMATIK DAN KOMPUTER",1850
UM,SASTERA DAN KEMANUSIAAN,974
UM,KESELURUHAN,6328
UTHM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",2799
UTHM,KESIHATAN DAN KEBAJIKAN,0
UTHM,PENDIDIKAN,846
UTHM,PERKHIDMATAN,0
UTHM,PERTANIAN DAN VETERINAR,0
UTHM,PROGRAM ASAS,0
UTHM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",277
UTHM,"SAINS, MATEMATIK DAN KOMPUTER",440
UTHM,SASTERA DAN KEMANUSIAAN,0
UTHM,KESELURUHAN,4362
UTeM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1782
UTeM,KESIHATAN DAN KEBAJIKAN,0
UTeM,PENDIDIKAN,0
UTeM,PERKHIDMATAN,0
UTeM,PERTANIAN DAN VETERINAR,0
UTeM,PROGRAM ASAS,0
UTeM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",220
UTeM,"SAINS, MATEMATIK DAN KOMPUTER",426
UTeM,SASTERA DAN KEMANUSIAAN,0
UTeM,KESELURUHAN,2428
UMT,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",123
UMT,KESIHATAN DAN KEBAJIKAN,236
UMT,PENDIDIKAN,0
UMT,PERKHIDMATAN,401
UMT,PERTANIAN DAN VETERINAR,370
UMT,PROGRAM ASAS,0
UMT,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",395
UMT,"SAINS, MATEMATIK DAN KOMPUTER",792
UMT,SASTERA DAN KEMANUSIAAN,0
UMT,KESELURUHAN,2317
UMP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1544
UMP,KESIHATAN DAN KEBAJIKAN,0
UMP,PENDIDIKAN,0
UMP,PERKHIDMATAN,70
UMP,PERTANIAN DAN VETERINAR,0
UMP,PROGRAM ASAS,0
UMP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",190
UMP,"SAINS, MATEMATIK DAN KOMPUTER",314
UMP,SASTERA DAN KEMANUSIAAN,4
UMP,KESELURUHAN,2122
UniSZA,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",75
UniSZA,KESIHATAN DAN KEBAJIKAN,200
UniSZA,PENDIDIKAN,343
UniSZA,PERKHIDMATAN,0
UniSZA,PERTANIAN DAN VETERINAR,79
UniSZA,PROGRAM ASAS,0
UniSZA,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",763
UniSZA,"SAINS, MATEMATIK DAN KOMPUTER",132
UniSZA,SASTERA DAN KEMANUSIAAN,808
UniSZA,KESELURUHAN,2400
USM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1703
USM,KESIHATAN DAN KEBAJIKAN,1229
USM,PENDIDIKAN,575
USM,PERKHIDMATAN,58
USM,PERTANIAN DAN VETERINAR,0
USM,PROGRAM ASAS,0
USM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1591
USM,"SAINS, MATEMATIK DAN KOMPUTER",869
USM,SASTERA DAN KEMANUSIAAN,718
USM,KESELURUHAN,6743
UNIMAP,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",2062
UNIMAP,KESIHATAN DAN KEBAJIKAN,0
UNIMAP,PENDIDIKAN,0
UNIMAP,PERKHIDMATAN,0
UNIMAP,PERTANIAN DAN VETERINAR,0
UNIMAP,PROGRAM ASAS,0
UNIMAP,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",376
UNIMAP,"SAINS, MATEMATIK DAN KOMPUTER",14
UNIMAP,SASTERA DAN KEMANUSIAAN,0
UNIMAP,KESELURUHAN,2452
UPM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",1269
UPM,KESIHATAN DAN KEBAJIKAN,313
UPM,PENDIDIKAN,895
UPM,PERKHIDMATAN,93
UPM,PERTANIAN DAN VETERINAR,1212
UPM,PROGRAM ASAS,0
UPM,"SAINS SOSIAL, PERNIAGAAN DAN PERUNDANGAN",1231
UPM,"SAINS, MATEMATIK DAN KOMPUTER",1306
UPM,SASTERA DAN KEMANUSIAAN,763
UPM,KESELURUHAN,7082
USIM,"KEJURUTERAAN, PEMBUATAN DAN PEMBINAAN",11
USIM,KESIHATAN DAN KEBAJIKAN,183
USIM,PENDIDIKAN,3
USIM,PERKHIDMATAN,0
USIM,PERTANIAN DAN VETERINAR,0
USIM,PROGRAM ASAS,0
