 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, APRIL 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, APRIL 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,294,0,"3,479",0,0,269,27,304,45,4,44,4,4,110,0,0,26,0,57,0,0,"4,667"
Kedah,32,0,145,13,66,43,2,0,58,3,31,1,2,1,50,23,0,0,39,0,0,509
Kelantan,0,0,65,1,0,29,0,0,1,23,191,10,0,12,0,1,21,0,7,0,0,361
Melaka,180,0,498,0,0,145,2,2,13,0,70,1,1,12,0,4,0,0,177,0,0,"1,105"
Negeri Sembilan,23,0,50,4,102,120,42,1,2,0,85,0,4,2,17,32,4,0,116,0,0,604
Pahang,70,0,129,0,2,24,0,0,3,0,96,0,0,0,0,4,0,0,0,0,0,328
Perak,75,0,"1,695",3,0,3,18,0,34,0,111,0,3,35,7,0,2,0,34,0,0,"2,020"
Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Pulau Pinang,6,0,"2,418",3,0,1,17,102,51,11,0,0,5,253,0,5,0,0,7,0,2,"2,881"
Selangor,320,41,"3,724",13,10,369,121,195,126,29,654,3,49,979,130,12,5,7,334,3,0,"7,124"
Terengganu,0,0,4,11,0,5,9,0,4,0,20,0,2,2,0,3,0,0,1,0,0,61
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,15,5,105,0,14,"1,122",67,61,308,142,"2,061",0,23,56,40,27,153,20,567,0,0,"4,786"
 - Labuan,1,32,0,0,0,50,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,93
 - Putrajaya,105,5,1,0,0,44,9,0,42,11,40,0,9,12,0,3,0,0,118,0,0,399
Jumlah Kecil-S.Malaysia,"1,121",83,"12,313",48,194,"2,224",318,665,693,223,"3,403",19,102,"1,474",244,114,211,27,"1,459",3,2,"24,940"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"11,376",27,864,7,1,"1,337",114,37,140,5,55,5,74,26,1,3,8,3,"1,391",0,0,"15,474"
Sarawak,56,45,651,235,0,47,17,21,5,4,105,0,41,23,0,7,2,0,77,0,0,"1,336"
Jumlah Kecil -(Sub -Total),"11,432",72,"1,515",242,1,"1,384",131,58,145,9,160,5,115,49,1,10,10,3,"1,468",0,0,"16,810"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"12,553",155,"13,828",290,195,"3,608",449,723,838,232,"3,563",24,217,"1,523",245,124,221,30,"2,927",3,2,"41,750"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
