 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, OGOS 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, AUGUST 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"1,003",0,"21,459",1,1,"4,650",21,116,87,50,237,0,2,3,30,11,0,8,75,15,0,"27,769"
Kedah,152,0,"2,135",1,2,314,1,1,117,11,485,1,1,120,0,14,0,0,55,0,0,"3,410"
Kelantan,726,0,964,0,0,5,0,0,3,0,22,0,6,4,0,22,0,0,1,0,0,"1,753"
Melaka,105,0,"5,019",10,32,443,6,3,20,2,215,0,6,2,0,11,0,0,225,0,0,"6,099"
Negeri Sembilan,"1,171",2,"4,426",0,2,"1,264",63,8,112,6,93,0,46,13,0,3,0,0,215,1,0,"7,425"
Pahang,"1,023",0,"1,116",0,0,188,0,0,10,2,110,0,9,8,2,3,0,0,36,0,0,"2,507"
Perak,746,4,"6,561",0,0,523,6,0,70,0,20,0,2,2,62,8,1,0,90,0,0,"8,095"
Perlis,0,0,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Pulau Pinang,0,0,"11,448",5,15,556,185,14,32,0,12,7,64,152,12,0,2,0,24,0,0,"12,528"
Selangor,"1,222",15,"23,323",8,4,"5,834",376,220,536,312,657,3,111,441,683,71,3,0,"2,195",0,0,"36,014"
Terengganu,"1,295",0,64,0,1,47,29,0,8,0,10,0,1,0,0,10,0,0,23,0,0,"1,488"
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,"1,508",33,"1,431",2,8,"3,948",235,17,305,357,"1,205",21,44,559,28,10,137,37,"2,240",1,6,"12,132"
 - Labuan,25,0,0,0,0,30,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,71
 - Putrajaya,999,2,170,14,0,113,2,0,15,0,0,0,157,34,0,0,0,0,90,0,0,"1,596"
Jumlah Kecil-S.Malaysia,"9,975",56,"78,196",41,65,"17,925",924,379,"1,321",740,"3,066",32,449,"1,338",817,163,143,45,"5,279",17,6,"120,977"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"2,665",384,821,2,16,"1,613",177,4,265,0,1,19,6,22,102,3,7,5,490,0,0,"6,602"
Sarawak,99,10,145,0,0,948,10,5,0,0,30,0,30,6,0,2,0,0,523,0,0,"1,808"
Jumlah Kecil -(Sub -Total),"2,764",394,966,2,16,"2,561",187,9,265,0,31,19,36,28,102,5,7,5,"1,013",0,0,"8,410"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"12,739",450,"79,162",43,81,"20,486","1,111",388,"1,586",740,"3,097",51,485,"1,366",919,168,150,50,"6,292",17,6,"129,387"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
