 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, DISEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, DECEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,998,0,"10,705",34,20,"3,470",69,170,180,2,44,2,23,180,0,2,0,19,216,8,0,"16,142"
Kedah,181,0,"1,446",0,0,9,30,28,20,0,0,0,2,10,0,5,0,0,11,0,0,"1,742"
Kelantan,555,0,108,0,0,112,1,0,0,0,80,0,102,14,0,16,0,0,3,0,0,991
Melaka,120,0,"1,801",5,32,105,32,4,37,0,109,0,0,30,0,9,0,0,39,0,2,"2,325"
Negeri Sembilan,159,0,"1,311",3,20,424,48,1,5,3,125,0,3,10,0,38,3,0,3,0,0,"2,156"
Pahang,508,0,"1,136",0,0,40,2,0,2,0,3,1,1,1,0,4,0,0,0,0,0,"1,698"
Perak,"1,067",20,"1,820",1,50,100,4,0,23,0,1,0,50,0,0,4,4,0,105,0,0,"3,249"
Perlis,0,0,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,55
Pulau Pinang,10,0,"4,889",2,10,254,32,25,68,0,0,0,53,0,0,1,0,0,677,0,0,"6,021"
Selangor,300,1,"9,207",17,6,"3,594",108,492,977,17,213,1,141,692,36,76,13,0,"2,473",0,0,"18,364"
Terengganu,4,0,20,0,0,6,4,0,11,0,0,0,1,0,0,10,40,0,4,4,0,104
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,126,52,831,0,2,"2,172",58,2,201,205,"18,261",14,53,74,20,22,295,2,251,0,1,"22,642"
 - Labuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 - Putrajaya,260,10,36,1,0,"1,165",1,0,0,0,61,0,3,17,1,0,0,0,153,0,0,"1,708"
Jumlah Kecil-S.Malaysia,"4,288",83,"33,360",63,140,"11,451",389,722,"1,529",227,"18,897",18,432,"1,028",57,187,355,21,"3,935",12,3,"77,197"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"7,628",78,470,101,0,"1,494",168,5,170,5,65,0,62,4,0,34,19,2,813,0,0,"11,118"
Sarawak,628,0,92,3,0,14,8,5,84,0,0,0,41,0,0,0,0,0,155,0,0,"1,030"
Jumlah Kecil -(Sub -Total),"8,256",78,562,104,0,"1,508",176,10,254,5,65,0,103,4,0,34,19,2,968,0,0,"12,148"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"12,544",161,"33,922",167,140,"12,959",565,732,"1,783",232,"18,962",18,535,"1,032",57,221,374,23,"4,903",12,3,"89,345"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
