 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, FEBRUARI 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, FEBRUARY 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"1,031",2,"2,164",6,0,993,33,0,245,3,122,1,4,17,0,0,34,15,401,0,0,"5,071"
Kedah,145,0,163,0,10,106,31,4,162,17,95,0,0,0,0,136,3,0,129,0,0,"1,001"
Kelantan,2,1,39,6,0,13,1,0,0,10,63,0,59,0,0,33,0,2,69,2,0,300
Melaka,17,0,"1,607",10,0,456,6,2,29,2,51,0,2,1,0,3,0,0,42,10,2,"2,240"
Negeri Sembilan,301,0,"1,266",0,0,48,45,0,109,0,62,0,0,57,1,40,10,0,267,0,0,"2,206"
Pahang,999,0,80,0,0,477,0,16,91,0,40,0,0,3,0,5,0,0,8,0,0,"1,719"
Perak,"1,340",0,"1,469",2,0,7,33,0,127,0,29,0,0,2,0,0,2,5,145,0,0,"3,161"
Perlis,0,0,100,0,0,5,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120
Pulau Pinang,26,0,"1,813",0,0,41,3,0,265,0,2,0,13,439,0,38,0,0,60,0,0,"2,700"
Selangor,299,3,"2,856",15,1,"1,616",229,178,604,69,498,31,66,566,342,118,13,8,585,8,1,"8,106"
Terengganu,392,0,30,0,0,52,15,0,15,0,13,0,3,0,0,3,0,0,10,0,0,533
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,3,0,459,39,14,704,37,101,602,22,"2,082",106,59,350,63,77,62,0,350,0,0,"5,130"
 - Labuan,6,0,8,0,0,12,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,43
 - Putrajaya,0,9,51,0,0,502,0,0,55,2,5,0,21,25,0,26,0,0,0,1,0,697
Jumlah Kecil-S.Malaysia,"4,561",15,"12,105",78,25,"5,032",443,301,"2,326",125,"3,062",138,227,"1,460",406,479,124,30,"2,066",21,3,"33,027"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"6,388",14,572,5,8,886,146,3,237,0,121,1,20,35,0,2,0,0,278,0,0,"8,716"
Sarawak,44,122,11,0,0,58,69,10,13,0,10,0,13,47,10,0,1,5,12,0,0,425
Jumlah Kecil -(Sub -Total),"6,432",136,583,5,8,944,215,13,250,0,131,1,33,82,10,2,1,5,290,0,0,"9,141"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"10,993",151,"12,688",83,33,"5,976",658,314,"2,576",125,"3,193",139,260,"1,542",416,481,125,35,"2,356",21,3,"42,168"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
