 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, JANUARI 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, JANUARY 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"1,248",0,"7,171",1,0,"2,620",37,0,372,0,214,1,30,100,0,7,68,0,206,0,0,"12,075"
Kedah,76,0,362,0,0,129,269,3,151,4,1,0,1,5,0,3,0,0,16,0,0,"1,020"
Kelantan,297,0,175,6,0,42,4,0,23,0,33,61,325,0,0,29,1,1,37,0,0,"1,034"
Melaka,"1,192",1,694,8,0,"1,331",2,1,534,0,98,0,0,77,0,21,0,0,71,0,0,"4,030"
Negeri Sembilan,384,0,669,0,0,74,30,12,67,25,67,0,0,15,0,0,1,0,141,0,0,"1,485"
Pahang,"1,645",0,304,0,0,759,7,0,189,0,0,0,0,0,0,34,0,0,19,0,0,"2,957"
Perak,"1,418",0,"2,199",3,0,70,3,0,142,0,50,0,2,0,150,3,0,0,62,0,0,"4,102"
Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Pulau Pinang,80,0,"2,283",11,0,104,23,26,203,0,5,4,20,329,0,14,0,0,148,0,0,"3,250"
Selangor,"1,981",0,"5,712",22,0,"5,859",84,165,"1,233",73,156,119,52,948,100,20,9,27,"1,469",1,0,"18,030"
Terengganu,927,0,33,0,0,64,45,0,44,1,93,1,2,6,0,3,0,2,1,2,0,"1,224"
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,698,3,449,0,0,"1,612",104,11,885,52,666,0,96,289,2,101,30,0,468,0,0,"5,466"
 - Labuan,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,46
 - Putrajaya,612,15,44,0,0,463,"1,500",0,157,1,0,0,8,17,1,5,0,0,100,1,0,"2,924"
Jumlah Kecil-S.Malaysia,"10,558",19,"20,095",51,0,"13,127","2,108",218,"4,046",156,"1,383",186,536,"1,786",253,240,109,30,"2,740",4,0,"57,645"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"11,066",17,947,4,1,318,178,5,128,6,117,0,38,14,1,15,11,3,"1,301",0,0,"14,170"
Sarawak,88,10,197,3,0,44,8,22,39,0,165,0,8,82,0,0,30,0,58,0,0,754
Jumlah Kecil -(Sub -Total),"11,154",27,"1,144",7,1,362,186,27,167,6,282,0,46,96,1,15,41,3,"1,359",0,0,"14,924"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"21,712",46,"21,239",58,1,"13,489","2,294",245,"4,213",162,"1,665",186,582,"1,882",254,255,150,33,"4,099",4,0,"72,569"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
