 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, JULAI 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, JULY 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,515,0,"2,902",3,3,504,205,0,131,0,215,0,4,106,60,0,2,4,214,1,0,"4,869"
Kedah,5,0,101,0,1,10,1,4,33,5,0,0,0,0,0,7,0,0,2,0,1,170
Kelantan,290,0,28,0,0,106,0,0,4,0,8,0,52,3,0,219,0,0,27,0,0,737
Melaka,23,0,144,7,0,23,3,0,102,10,90,0,1,9,0,0,0,0,193,0,0,605
Negeri Sembilan,75,0,115,2,9,31,8,0,23,0,55,0,3,11,3,14,0,0,3,0,0,352
Pahang,606,0,80,0,0,510,3,0,10,0,65,0,0,100,0,0,0,0,15,0,0,"1,389"
Perak,"3,280",0,731,8,0,16,3,0,6,1,20,0,0,0,0,0,1,0,12,0,0,"4,078"
Perlis,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,25
Pulau Pinang,24,0,566,15,0,49,3,19,32,1,0,10,18,0,0,3,0,10,16,0,0,766
Selangor,16,5,"2,762",5,0,"1,121",29,274,345,36,164,18,44,201,76,9,16,6,130,501,5,"5,763"
Terengganu,0,0,26,0,0,54,2,0,14,0,1,0,0,0,0,3,0,0,24,0,0,124
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,"5,050",0,234,1,0,707,18,318,48,84,"1,075",0,22,61,540,32,3,0,262,0,0,"8,455"
 - Labuan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20
 - Putrajaya,2,2,0,0,0,0,0,0,165,30,20,0,0,21,0,0,0,0,7,0,0,247
Jumlah Kecil-S.Malaysia,"9,886",7,"7,689",41,13,"3,141",275,615,913,167,"1,723",28,144,512,679,287,37,30,905,502,6,"27,600"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"4,319",54,813,0,0,595,82,11,97,5,16,4,15,20,0,2,9,1,204,0,0,"6,247"
Sarawak,18,0,558,2,0,838,54,0,30,0,135,0,1,1,0,2,0,0,13,0,0,"1,652"
Jumlah Kecil -(Sub -Total),"4,337",54,"1,371",2,0,"1,433",136,11,127,5,151,4,16,21,0,4,9,1,217,0,0,"7,899"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"14,223",61,"9,060",43,13,"4,574",411,626,"1,040",172,"1,874",32,160,533,679,291,46,31,"1,122",502,6,"35,499"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
