 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, JUN 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, JUNE 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,156,0,"1,254",0,1,225,11,32,63,5,52,0,5,1,0,1,8,0,191,0,0,"2,005"
Kedah,92,0,372,0,0,1,70,1,48,0,403,0,7,0,0,0,0,0,7,0,0,"1,001"
Kelantan,0,0,94,0,0,11,0,0,0,0,70,0,106,1,0,0,0,0,10,0,0,292
Melaka,30,0,698,0,1,1,0,2,27,0,10,0,11,0,0,0,0,0,68,0,0,848
Negeri Sembilan,45,0,"1,313",0,0,2,0,1,16,200,0,0,2,5,0,1,0,0,15,0,0,"1,600"
Pahang,337,0,15,0,0,0,0,0,0,0,70,0,0,6,0,0,0,0,0,0,0,428
Perak,404,0,510,0,0,151,3,0,13,0,0,0,1,0,0,0,4,0,3,0,0,"1,089"
Perlis,0,0,0,0,0,14,8,0,5,0,0,0,0,0,0,8,0,0,0,0,0,35
Pulau Pinang,0,0,"2,687",0,55,247,0,70,12,0,0,3,7,100,2,2,0,0,84,0,0,"3,269"
Selangor,216,1,"1,406",1,0,173,21,177,55,27,75,3,57,286,68,7,1,41,98,4,0,"2,717"
Terengganu,100,0,10,0,0,8,18,0,0,0,0,1,1,3,1,0,33,0,8,0,0,183
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,22,0,40,0,2,357,73,23,118,38,500,1,14,256,22,17,40,0,91,0,0,"1,614"
 - Labuan,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
 - Putrajaya,0,4,0,10,0,10,0,0,0,355,0,9,0,24,1,0,0,0,0,0,0,413
Jumlah Kecil-S.Malaysia,"1,402",5,"8,399",11,59,"1,330",204,306,357,625,"1,180",17,211,682,94,36,86,41,575,4,0,"15,624"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"3,124",19,289,8,0,674,74,13,157,4,16,1,7,7,0,24,0,2,224,1,0,"4,644"
Sarawak,134,0,108,0,0,7,8,10,0,0,90,0,8,0,0,1,1,0,30,0,0,397
Jumlah Kecil -(Sub -Total),"3,258",19,397,8,0,681,82,23,157,4,106,1,15,7,0,25,1,2,254,1,0,"5,041"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"4,660",24,"8,796",19,59,"2,011",286,329,514,629,"1,286",18,226,689,94,61,87,43,829,5,0,"20,665"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
