 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, MAC 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, MARCH 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,606,0,"2,968",5,4,"1,058",48,33,71,2,121,3,15,5,0,26,3,0,263,0,0,"5,231"
Kedah,21,0,217,0,0,3,74,0,92,24,89,0,11,1,1,0,0,0,12,0,4,549
Kelantan,290,0,67,0,0,11,7,0,28,0,148,80,68,46,7,31,1,0,184,0,0,968
Melaka,44,0,261,0,4,30,12,3,69,4,143,0,20,0,20,20,0,0,491,300,0,"1,421"
Negeri Sembilan,78,0,578,0,0,208,56,4,29,0,21,0,3,1,8,40,1,0,75,0,0,"1,102"
Pahang,236,0,"1,466",0,1,5,3,0,40,0,61,0,0,201,0,2,0,0,4,0,0,"2,019"
Perak,948,0,"1,928",0,2,41,3,2,23,4,196,0,0,31,0,0,0,0,70,0,0,"3,248"
Perlis,0,0,30,0,0,30,0,0,0,0,90,0,0,0,0,1,0,0,0,0,0,151
Pulau Pinang,0,0,"1,531",2,0,2,4,7,35,0,1,0,16,145,2,4,0,0,33,0,0,"1,782"
Selangor,320,10,"2,293",0,3,171,141,58,375,"1,306",692,25,63,"2,478",92,137,132,8,418,0,0,"8,722"
Terengganu,14,8,17,0,0,8,71,5,7,0,25,0,5,3,67,6,3,0,6,0,0,245
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,41,2,134,11,10,591,333,221,258,81,"1,199",3,22,570,202,48,58,9,510,1,0,"4,304"
 - Labuan,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30
 - Putrajaya,0,6,67,0,0,1,0,0,95,2,0,0,2,13,0,6,0,0,2,0,0,194
Jumlah Kecil-S.Malaysia,"2,598",26,"11,577",18,24,"2,159",752,333,"1,132","1,423","2,786",111,225,"3,494",399,321,198,17,"2,068",301,4,"29,966"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"8,222",26,772,70,2,"1,579",171,4,169,10,15,7,48,22,0,6,10,1,378,0,0,"11,512"
Sarawak,167,6,10,0,0,98,11,81,21,0,71,0,55,10,1,1,0,0,6,0,0,538
Jumlah Kecil -(Sub -Total),"8,389",32,782,70,2,"1,677",182,85,190,10,86,7,103,32,1,7,10,1,384,0,0,"12,050"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"10,987",58,"12,359",88,26,"3,836",934,418,"1,322","1,433","2,872",118,328,"3,526",400,328,208,18,"2,452",301,4,"42,016"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
