 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, MEI 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, MAY 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,766,0,"5,150",0,0,288,85,5,63,126,434,0,14,350,0,17,36,5,235,0,0,"7,574"
Kedah,1,0,78,0,1,11,59,0,68,3,30,0,0,2,0,5,0,2,16,0,0,276
Kelantan,120,0,289,5,0,7,1,2,0,0,188,1,7,41,0,31,0,0,37,0,0,729
Melaka,238,0,661,3,10,54,0,2,89,6,47,0,26,9,0,0,0,0,214,0,0,"1,359"
Negeri Sembilan,26,0,"1,634",0,12,9,39,0,0,10,98,0,5,14,10,42,0,0,20,0,0,"1,919"
Pahang,"1,641",1,321,0,3,168,1,0,4,0,243,0,1,122,0,2,0,0,116,0,0,"2,623"
Perak,"1,888",0,871,0,0,11,13,0,0,0,10,0,3,5,1,0,12,0,11,0,0,"2,825"
Perlis,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
Pulau Pinang,0,0,"3,198",3,0,42,42,131,34,1,0,0,18,95,0,1,2,0,206,0,0,"3,773"
Selangor,38,3,"2,735",17,8,"2,419",372,113,689,243,417,0,47,"1,385",132,70,19,3,329,0,0,"9,039"
Terengganu,0,0,428,6,1,202,37,0,10,15,130,0,2,1,0,7,"1,183",0,24,0,0,"2,046"
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,21,5,121,1,0,614,113,124,159,34,"1,226",4,31,49,183,8,101,60,858,0,0,"3,712"
 - Labuan,2,0,20,0,0,5,9,0,5,0,0,0,0,4,0,0,0,0,0,0,0,45
 - Putrajaya,"1,385",10,180,0,0,585,25,0,18,1,72,0,3,0,0,0,0,0,2,0,0,"2,281"
Jumlah Kecil-S.Malaysia,"6,126",19,"15,686",35,35,"4,415",796,377,"1,139",439,"2,900",5,157,"2,077",326,183,"1,353",70,"2,068",0,0,"38,206"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"7,691",286,"1,081",61,0,358,202,2,207,4,24,1,25,39,1,3,7,0,496,0,0,"10,488"
Sarawak,221,0,349,0,0,47,25,13,114,0,35,0,0,8,1,5,0,0,57,11,0,886
Jumlah Kecil -(Sub -Total),"7,912",286,"1,430",61,0,405,227,15,321,4,59,1,25,47,2,8,7,0,553,11,0,"11,374"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"14,038",305,"17,116",96,35,"4,820","1,023",392,"1,460",443,"2,959",6,182,"2,124",328,191,"1,360",70,"2,621",11,0,"49,580"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
