 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, NOVEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, NOVEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"2,010",0,"13,073",32,3,"3,935",4,3,416,2,350,0,53,298,5,1,0,30,323,0,43,"20,581"
Kedah,134,0,"1,925",0,0,48,133,6,37,0,0,0,0,0,0,7,0,0,38,200,0,"2,528"
Kelantan,311,0,251,0,0,252,0,0,0,30,0,12,5,4,0,111,0,0,0,0,0,976
Melaka,510,0,"1,760",0,4,"1,235",46,0,10,105,1,0,20,1,0,1,0,0,195,0,0,"3,888"
Negeri Sembilan,189,0,"1,882",2,0,49,218,0,0,0,200,0,1,29,3,219,0,0,231,0,0,"3,023"
Pahang,"1,121",6,990,0,1,334,74,0,1,0,176,0,0,90,0,6,0,0,30,0,0,"2,829"
Perak,560,0,"3,896",22,0,423,24,0,36,0,0,1,0,0,0,3,0,0,251,0,0,"5,216"
Perlis,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472
Pulau Pinang,0,0,"3,546",0,10,494,120,0,29,2,3,0,68,36,0,5,0,0,0,200,0,"4,513"
Selangor,"1,367",5,"16,136",87,11,"3,997",193,44,381,56,408,3,52,976,31,21,24,0,"2,764",0,0,"26,556"
Terengganu,80,0,193,0,0,118,0,0,15,5,0,0,4,3,1,1,2,3,79,0,0,504
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,907,51,815,0,2,"2,109",52,36,205,38,642,24,72,189,32,328,12,2,"2,192",0,0,"7,708"
 - Labuan,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
 - Putrajaya,408,31,444,1,0,"2,305",7,0,264,1,110,0,3,30,1,0,0,0,70,0,0,"3,675"
Jumlah Kecil-S.Malaysia,"7,597",93,"45,383",144,31,"15,319",872,89,"1,394",239,"1,890",40,278,"1,656",73,703,38,35,"6,173",400,43,"82,490"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"13,089",108,734,23,1,322,199,17,156,41,0,1,124,13,0,18,11,2,618,0,0,"15,477"
Sarawak,20,1,101,30,0,124,27,5,18,0,17,3,748,0,0,10,0,0,329,0,0,"1,433"
Jumlah Kecil -(Sub -Total),"13,109",109,835,53,1,446,226,22,174,41,17,4,872,13,0,28,11,2,947,0,0,"16,910"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"20,706",202,"46,218",197,32,"15,765","1,098",111,"1,568",280,"1,907",44,"1,150","1,669",73,731,49,37,"7,120",400,43,"99,400"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
