 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, OKTOBER 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, OCTOBER 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"1,238",0,"15,734",4,0,"5,483",151,205,116,45,531,0,69,40,21,1,45,39,84,0,0,"23,806"
Kedah,109,0,"2,037",0,1,135,6,6,229,1,409,0,12,1,0,94,0,2,164,0,0,"3,206"
Kelantan,766,0,168,0,0,86,14,0,1,1,30,0,104,0,0,54,0,0,30,0,0,"1,254"
Melaka,138,0,"2,298",1,0,726,3,0,11,0,193,0,0,200,0,0,0,2,26,0,0,"3,598"
Negeri Sembilan,317,19,"1,728",0,0,"1,012",18,120,45,23,0,0,11,109,3,110,53,0,45,0,0,"3,613"
Pahang,510,0,344,0,0,223,0,0,23,13,143,1,0,67,0,3,0,0,219,0,0,"1,546"
Perak,"1,455",20,"3,023",0,10,964,20,0,29,1,304,0,3,3,0,0,4,0,56,20,0,"5,912"
Perlis,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44
Pulau Pinang,96,0,"5,819",0,61,844,0,32,28,1,15,1,110,20,3,0,0,0,114,0,0,"7,144"
Selangor,677,0,"21,396","1,019",1,"5,322",78,68,604,109,582,10,67,724,15,16,39,13,"1,143",0,0,"31,883"
Terengganu,470,0,31,0,0,7,17,1,1,200,0,0,0,1,0,3,0,1,7,2,0,741
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,300,25,927,12,18,"3,240",332,10,287,166,"1,145",8,45,447,35,17,297,0,"1,586",2,0,"8,899"
 - Labuan,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
 - Putrajaya,"1,087",8,385,4,0,434,11,0,19,1,30,32,153,123,0,0,0,0,296,101,1,"2,685"
Jumlah Kecil-S.Malaysia,"7,166",72,"53,983","1,040",91,"18,476",650,442,"1,393",561,"3,382",52,574,"1,735",77,298,439,57,"3,770",125,1,"94,384"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"4,777",12,"1,676",5,0,"1,768",151,41,156,3,8,0,13,21,0,2,8,4,681,2,0,"9,328"
Sarawak,239,18,71,5,0,128,10,2,161,0,50,0,17,8,8,0,2,0,60,0,0,779
Jumlah Kecil -(Sub -Total),"5,016",30,"1,747",10,0,"1,896",161,43,317,3,58,0,30,29,8,2,10,4,741,2,0,"10,107"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"12,182",102,"55,730","1,050",91,"20,372",811,485,"1,710",564,"3,440",52,604,"1,764",85,300,449,61,"4,511",127,1,"104,491"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
