 JADUAL / TABLE 8,,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA: KEKOSONGAN MENGIKUT NEGERI  DAN INDUSTRI, SEPTEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
"MALAYSIA : VACANCIES BY STATE AND INDUSTRY, SEPTEMBER 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Negeri      
State",Industri  /  Industry,,,,,,,,,,,,,,,,,,,,,"Jumlah
Total"
,"Pertanian, Perhutanan & Perikanan
Agriculture, Forestry & Fishing","Perlombongan & Pengkuarian
Mining & Quarrying","Pembuatan
Manufacturing","Bekalan Elektrik, Gas, Wap & Pendingin Udara
Electricity, Gas, Steam & Air Conditioning Supply","Bekalan Air; Pembentungan, Pengurusan Sisa & Aktiviti Pemulihan                                                                                                                                                         Water Supply; Water Supply; Sewerage, Waste Management & Remediation Activities ","Pembinaan
Construction","Perdagangan Borong & Runcit, Pembaikan Kenderaan Bermotor & Motosikal
Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Pengangkutan & Penyimpanan                                                                                                                                                                                                                  Transportation & Storage,Penginapan & Activiti Perkhidmatan Makanan & Minuman                                                                                                                                                                                                                       Accomodation & Food Service Activities,Maklumat & Komunikasi                                                                                                                                                                                                                                  Information & Communication,"Aktiviti Kewangan & Insurans / Takaful
Financial & Insurance / Takaful Activities","Aktiviti Hartanah
Real Estate Activities","Aktiviti Profesional, Saintifik & Teknikal                                                                                                                                                                                                         Professional, Scientific & Technical Activities",Aktiviti Pentadbiran & Khidmat Sokongan                                                                                                                                                                                                                      Administrative & Support Service Activities,Pentadbiran Awam & Pertahanan: Aktiviti Keselamatan Sosial Wajib                                                                                                                                                                                                                        Public Administration & Defence: Compulsory Social Security,"Pendidikan
Education","Activiti Kesihatan Kemanusiaan & Kerja Sosial
Human Health & Social Work Activities","Kesenian, Hiburan & Rekreasi
Arts, Entertainment & Recreational",Aktiviti Perkhidmatan Lain                                                                                                                                                                                                                                               Other Service Activities                                                                                                                                                                                                                                                ,"Aktiviti isi rumah sebagai majikan;aktiviti mengeluarkan barangan&perkhidmatan yang tidak dapat dibezakan oleh isi rumah untuk kegunaan sendiri
Activities of Households as Employers;Undifferentiated Goods&Services-Producing Activities of Households For Own Use ","Aktiviti Badan & Pertubuhan Luar Wilayah
Activities of Extraterritorial Organisation & Bodies",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Johor,"1,966",0,"24,420",0,20,"4,304",94,74,244,27,381,1,26,22,0,6,8,60,468,0,0,"32,121"
Kedah,341,0,"2,293",0,2,147,196,0,214,3,0,0,1,6,0,0,0,0,35,0,0,"3,238"
Kelantan,"1,976",0,69,0,0,0,4,0,0,0,50,0,5,11,0,30,0,0,0,0,0,"2,145"
Melaka,"1,780",0,"2,018",0,4,131,7,0,701,0,35,0,24,66,0,0,0,0,129,0,0,"4,895"
Negeri Sembilan,870,2,"3,857",0,2,"1,585",35,0,58,6,26,2,5,70,0,21,0,0,149,0,0,"6,688"
Pahang,"2,940",0,810,0,0,71,0,0,9,0,90,0,0,0,0,0,0,0,13,0,0,"3,933"
Perak,"2,162",47,"4,454",0,0,68,94,0,223,2,15,0,2,0,12,0,1,0,520,0,0,"7,600"
Perlis,0,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44
Pulau Pinang,97,0,"7,567",20,32,804,20,200,180,0,0,6,119,0,0,4,0,1,60,0,0,"9,110"
Selangor,808,3,"18,115",3,0,"6,839",369,391,391,83,288,0,139,176,46,11,12,23,"1,719",127,0,"29,543"
Terengganu,42,0,37,0,0,19,5,0,50,0,0,0,2,0,1,3,0,0,8,1,0,168
W. Persekutuan/Federal Territory,,,,,,,,,,,,,,,,,,,,,,
 - Kuala Lumpur,"3,577",2,"1,327",1,33,"4,807",34,105,274,34,782,25,75,408,75,210,13,11,811,0,0,"12,604"
 - Labuan,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,51
 - Putrajaya,"5,810",1,371,0,0,303,4,0,0,1,15,0,11,3,51,0,0,0,109,10,2,"6,691"
Jumlah Kecil-S.Malaysia,"22,416",55,"65,378",24,93,"19,078",862,770,"2,348",156,"1,682",34,409,762,185,285,34,95,"4,025",138,2,"118,831"
Sub-Total - Pen.Malaysia,,,,,,,,,,,,,,,,,,,,,,
Sabah,"4,818",62,416,11,4,798,207,46,204,0,0,1,23,4,1,3,6,0,296,0,0,"6,900"
Sarawak,180,25,437,2,0,213,8,15,29,0,5,0,60,0,0,62,15,6,386,0,0,"1,443"
Jumlah Kecil -(Sub -Total),"4,998",87,853,13,4,"1,011",215,61,233,0,5,1,83,4,1,65,21,6,682,0,0,"8,343"
Sabah & Sarawak,,,,,,,,,,,,,,,,,,,,,,
Jumlah Besar,"27,414",142,"66,231",37,97,"20,089","1,077",831,"2,581",156,"1,687",35,492,766,186,350,55,101,"4,707",138,2,"127,174"
Grand Total - Malaysia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sumber: Kementerian Sumber Manusia,,,,,,,,,
,,,,,,,,,,,,Source: Ministry of Human Resources,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
